Id;Song row indices
MN0000484145;[4284]
MN0000900303;[3047]
MN0000096964;[3994, 3995, 3996, 3997, 3998]
MN0000498961;[4963]
MN0001928494;[2937]
MN0000530745;[4621, 4861]
MN0000670226;[5389]
MN0000231342;[1502, 1694]
MN0000868174;[2173]
MN0000295276;[691]
MN0000794846;[1817]
MN0000757070;[3242, 3243]
MN0000387973;[63]
MN0000603980;[5169]
MN0000500646;[2959]
MN0000377891;[5374]
MN0000023010;[5099]
MN0000838327;[4554]
MN0000922471;[5268]
MN0000136871;[5329]
MN0000932922;[1606]
MN0000051736;[4903]
MN0000750456;[4696, 4697, 4921, 4922]
MN0000012472;[684]
MN0000011754;[1555]
MN0000354581;[4791]
MN0000570046;[745]
MN0000117272;[2496, 2508]
MN0000658950;[3786, 3787]
MN0000796281;[3463]
MN0000137474;[4550]
MN0000127451;[5044]
MN0000578031;[4700]
MN0000755776;[1933]
MN0000201716;[4683]
MN0000776371;[2081, 2082]
MN0000234647;[4672]
MN0000016235;[5444, 5446]
MN0000792507;[5193, 5537]
MN0000502806;[2881]
MN0000766893;[5178]
MN0000533117;[1987]
MN0000020278;[2332]
MN0000317020;[1828]
MN0000180617;[3735, 3736]
MN0000188432;[2641]
MN0000624504;[4719, 4720, 4775]
MN0000039637;[4160]
MN0000749175;[3915, 3916, 3917, 3918, 3919]
MN0000105354;[4854, 4882, 4883]
MN0000122754;[4615, 4875]
MN0000678408;[2477, 2501, 2502]
MN0000102835;[5381]
MN0000073666;[2796]
MN0000192143;[4965]
MN0000632986;[2710]
MN0000850692;[2700]
MN0000125749;[4275]
MN0000988692;[1411]
MN0000266129;[3278]
MN0000263271;[223]
MN0000571797;[4410]
MN0000794449;[2834, 2835, 2836, 2837, 2838, 2839]
MN0000624215;[1608]
MN0000087985;[5499]
MN0000450947;[5253]
MN0000178122;[139]
MN0000125561;[5090]
MN0000104714;[70]
MN0000090803;[2504, 2505, 2506, 2533]
MN0000621639;[344, 364]
MN0000020809;[2540, 2541, 2542]
MN0000201022;[4367]
MN0000087965;[4243]
MN0000010155;[2884]
MN0000019241;[5161]
MN0000039917;[4987]
MN0000616296;[1867]
MN0000118544;[2513]
MN0000281376;[1310]
MN0000507975;[5059]
MN0000832341;[4939]
MN0000096744;[5259]
MN0000425543;[4753]
MN0000888484;[846, 850]
MN0000208997;[1945]
MN0000193963;[4622]
MN0000478603;[2448, 2473]
MN0000153103;[737, 739]
MN0000772526;[1151]
MN0000746666;[2116]
MN0000577235;[4000]
MN0000162820;[4851]
MN0000676313;[4741, 4742]
MN0000078467;[434]
MN0000492331;[978]
MN0000085806;[4931]
MN0000005953;[3358]
MN0000667622;[4508]
MN0000033666;[273]
MN0000166291;[3645]
MN0000049026;[3331]
MN0000614598;[5395]
MN0000691616;[1859]
MN0000852688;[1619]
MN0000087179;[1262, 1263]
MN0000572579;[2139]
MN0000059101;[545]
MN0000033481;[4267, 4268, 4269]
MN0000382734;[5369]
MN0000098342;[524]
MN0000172770;[4968]
MN0000338887;[4986]
MN0000093872;[3310]
MN0000325126;[2643]
MN0000018977;[5357, 5375, 5416]
MN0000419102;[2430]
MN0000391003;[354]
MN0000790732;[194]
MN0000937584;[5234]
MN0000083095;[3817]
MN0000227544;[3230]
MN0000816387;[2776, 2777, 2778, 2779]
MN0000190632;[3896]
MN0000156886;[2866, 2867, 2868]
MN0000113300;[3734]
MN0000864209;[4619, 4784, 4785, 4786, 4788, 4789, 5038, 5039, 5040, 5041, 5042]
MN0000863790;[3083]
MN0000127063;[444]
MN0000352992;[3489]
MN0000184091;[2235]
MN0000796763;[1264]
MN0000120005;[4540]
MN0000165818;[3740]
MN0000319347;[4671]
MN0000681956;[4750, 4751, 4792]
MN0000067631;[5505]
MN0000833802;[4755]
MN0000112789;[5486, 5582]
MN0000091983;[5350, 5368]
MN0000266952;[3159]
MN0000284882;[2426, 2557]
MN0000031380;[2742, 2743, 2745]
MN0000290590;[3675, 3676, 3677]
MN0000137401;[4910, 4911, 4912, 4913, 4914]
MN0000565388;[5515]
MN0000103391;[2925]
MN0000205254;[3096]
MN0000208774;[5462]
MN0000176332;[3944]
MN0000606283;[2548]
MN0000477834;[2880]
MN0000564631;[1982]
MN0000585896;[95]
MN0000375239;[1629]
MN0000500889;[2714]
MN0000478932;[5494]
MN0000814387;[3198]
MN0000368367;[5463]
MN0000689891;[1614]
MN0000233147;[1647]
MN0000074195;[2645, 2646, 2772, 2773, 2774, 2775]
MN0000745915;[4777, 5012]
MN0000780346;[2240]
MN0000034382;[4992]
MN0000524050;[1331]
MN0000092189;[4543]
MN0000036849;[1545, 1562, 1605, 1623, 1699]
MN0000177060;[4591, 4592]
MN0000775494;[2232]
MN0000132305;[2495]
MN0000173563;[3042]
MN0000227675;[4797, 4798, 4799, 4850]
MN0000327765;[5019]
MN0000552576;[2560]
MN0000019297;[2156, 2157]
MN0000554804;[2023]
MN0000845662;[699]
MN0000420381;[4215]
MN0000244048;[1586]
MN0000857597;[2202]
MN0000383853;[3641]
MN0000212614;[1233]
MN0001930721;[5612]
MN0000743175;[5139]
MN0000651972;[5440]
MN0000226556;[4595]
MN0002344193;[4302]
MN0000326964;[2531]
MN0000187907;[1741]
MN0000022255;[2895]
MN0000022257;[4581]
MN0000605375;[4237, 4238, 4399]
MN0000936425;[5480]
MN0000496487;[3219]
MN0000805208;[2899, 2936, 2974]
MN0000061172;[2060]
MN0000024944;[807, 1067]
MN0000005307;[2274]
MN0000936190;[2797]
MN0000143216;[3249]
MN0000516202;[1276]
MN0000495201;[2788]
MN0000402872;[992, 1448, 1745]
MN0000807041;[2532]
MN0000123754;[2632]
MN0000545074;[4463, 4564]
MN0000084458;[5394]
MN0000275335;[5251]
MN0000747506;[4901, 4902]
MN0000017929;[2304]
MN0000146242;[4721]
MN0000165117;[1705]
MN0000414889;[198]
MN0000068934;[5308]
MN0000002330;[1078]
MN0000026825;[2238]
MN0000685647;[3002]
MN0000136075;[976]
MN0000665860;[415]
MN0000653626;[4556]
MN0000811897;[2224, 2320, 2321, 2322, 2323]
MN0000081316;[618]
MN0000113753;[321]
MN0000089710;[3851]
