Source;Target
MN0000234518;MN0000096964
MN0000036031;MN0000096964
MN0000144458;MN0000096964
MN0000044024;MN0000096964
MN0000316834;MN0000096964
MN0000101946;MN0000096964
MN0000081194;MN0000096964
MN0000046861;MN0000096964
MN0000076881;MN0000096964
MN0000814898;MN0000096964
MN0000933172;MN0000096964
MN0000677781;MN0000096964
MN0000414251;MN0000096964
MN0000307461;MN0000096964
MN0000815039;MN0000096964
MN0000531986;MN0000498961
MN0000490004;MN0002898234
MN0000151290;MN0000779146
MN0000151431;MN0000127672
MN0000219203;MN0000775877
MN0000145128;MN0000775877
MN0000355412;MN0000775877
MN0000336783;MN0000775877
MN0000899530;MN0000775877
MN0000212131;MN0000775877
MN0000793425;MN0000775877
MN0000080720;MN0000775877
MN0001557918;MN0000775877
MN0000575522;MN0000775877
MN0000164189;MN0000775877
MN0000564333;MN0000775877
MN0000149840;MN0000775877
MN0000240665;MN0000775877
MN0000758444;MN0000775877
MN0000326249;MN0000775877
MN0000239921;MN0000775877
MN0000754032;MN0000775877
MN0000325459;MN0000775877
MN0000112185;MN0000775877
MN0000393345;MN0000775877
MN0000026520;MN0000618368
MN0000033234;MN0000753004
MN0000526407;MN0000753004
MN0000039656;MN0000753004
MN0000145422;MN0000753004
MN0000175553;MN0000753004
MN0000401971;MN0000753004
MN0000303878;MN0000753004
MN0000017844;MN0000753004
MN0000120323;MN0000753004
MN0001542846;MN0000753004
MN0000423829;MN0000753004
MN0000490416;MN0000753004
MN0000988386;MN0000753004
MN0000218885;MN0000788508
MN0000751592;MN0000788508
MN0000178014;MN0000788508
MN0000071514;MN0000788508
MN0000771438;MN0000923705
MN0000784222;MN0000923705
MN0000645612;MN0000923705
MN0000672910;MN0000923705
MN0000212131;MN0000923705
MN0000790814;MN0000923705
MN0000250976;MN0000923705
MN0000796811;MN0000923705
MN0000751604;MN0000923705
MN0000005251;MN0000923705
MN0000387815;MN0000923705
MN0000748262;MN0000923705
MN0000937003;MN0000923705
MN0000128787;MN0000923705
MN0000838962;MN0000923705
MN0000326249;MN0000923705
MN0000137390;MN0000923705
MN0000036521;MN0000923705
MN0000755156;MN0000923705
MN0000047134;MN0000048341
MN0000273531;MN0000048341
MN0000081181;MN0000811141
MN0000066570;MN0000811141
MN0000005882;MN0000491565
MN0000771438;MN0000598667
MN0000840102;MN0000889471
MN0000379125;MN0000889471
MN0000620155;MN0003342043
MN0000428717;MN0000035094
MN0000803720;MN0000035094
MN0000923618;MN0000035094
MN0000331337;MN0000035094
