Id;genres
MN0000049774;set([u'R&B', u'Electronic'])
MN0000224369;set([u'Pop/Rock'])
MN0000316834;set([u'R&B'])
MN0000748994;set([u'Rap'])
MN0000227088;set([u'Country', u'Pop/Rock'])
MN0000852007;set([u'Pop/Rock'])
MN0000838524;set([u'Blues', u'Pop/Rock'])
MN0000224186;set([u'Pop/Rock'])
MN0000097654;set([u'Pop/Rock'])
MN0000321321;set([u'Pop/Rock'])
MN0000233228;set([u'R&B', u'Jazz', u'Pop/Rock'])
MN0000965206;set([u'R&B', u'Pop/Rock'])
MN0000260038;set([u'R&B', u'Blues', u'Jazz', u'Vocal'])
MN0000559405;set([u'Latin'])
MN0000864209;set([u'Pop/Rock'])
MN0000463435;set([u'Country', u'Pop/Rock'])
MN0000208997;set([u'Pop/Rock'])
MN0000865016;set([u'R&B', u'Pop/Rock'])
MN0000766893;set([u'R&B', u'Pop/Rock'])
MN0000171637;set([u'Pop/Rock'])
MN0000478603;set([u'Pop/Rock'])
MN0000837946;set([u'Country', u'Pop/Rock'])
MN0000898828;set([u'Pop/Rock'])
MN0000576979;set([u'Pop/Rock'])
MN0000423267;set([u'Pop/Rock'])
MN0000198162;set([u'R&B', u'Blues'])
MN0000894847;set([u'R&B'])
MN0000026952;set([u'New Age', u'Religious'])
MN0000664459;set([u'Rap'])
MN0000677781;set([u'R&B', u'Pop/Rock'])
MN0000012180;set([u'Country'])
MN0000058035;set([u'Pop/Rock'])
MN0000035076;set([u'R&B', u'Pop/Rock', u'Electronic'])
MN0000143781;set([u'Pop/Rock'])
MN0000741718;set([u'R&B', u'Rap'])
MN0000020812;set([u'Pop/Rock'])
MN0000536275;set([u'Pop/Rock', u'Vocal'])
MN0000078532;set([u'Reggae'])
MN0002907557;set([u'Pop/Rock'])
MN0000664093;set([u'R&B'])
MN0000281376;set([u'Rap'])
MN0000790833;set([u'R&B'])
MN0000060476;set([u'R&B', u'Pop/Rock'])
MN0000524837;set([u'Comedy/Spoken'])
MN0000071812;set([u'R&B', u'Pop/Rock'])
MN0000674332;set([u'Jazz', u'Pop/Rock', u'Easy Listening'])
MN0000065397;set([u'Country', u'Pop/Rock', u'R&B'])
MN0000174557;set([u'Pop/Rock'])
MN0000196976;set([u'Country'])
MN0000866417;set([u'Reggae'])
MN0000110161;set([u'Pop/Rock'])
MN0000234384;set([u'Pop/Rock', u'Rap'])
MN0000824022;set([u'R&B', u'Pop/Rock', u'Religious'])
MN0000662797;set([u'R&B', u'Electronic'])
MN0000944084;set([u'Country'])
MN0000932665;set([u'Pop/Rock'])
MN0000608945;set([u'R&B'])
MN0000575051;set([u'Pop/Rock'])
MN0000934069;set([u'Country', u'Pop/Rock'])
MN0000524050;set([u'Pop/Rock'])
MN0000424296;set([u'R&B', u'Pop/Rock'])
MN0000045313;set([u'R&B', u'Pop/Rock'])
MN0000818200;set([u'Rap'])
MN0000774588;set([u'Country', u'Pop/Rock'])
MN0000082013;set([u'R&B'])
MN0000616296;set([u'Pop/Rock'])
MN0000678408;set([u'Jazz'])
MN0000739702;set([u'Pop/Rock'])
MN0000572579;set([u'R&B'])
MN0000092942;set([u'R&B', u'Pop/Rock'])
