Id;Label
MN0000868577;Rapeman
MN0000248916;Johnny Osbourne
MN0000808003;Jamie O'Neal
MN0000012671;Sister Machine Gun
MN0000181891;Uncle Dave Macon
MN0000096964;Boz Scaggs
MN0000498961;'Til Tuesday
MN0002898234;Mixtapes
MN0000610591;Akercocke
MN0000779146;Chris Thile
MN0000127672;Jackie King
MN0000268993;Jen Chapin
MN0000775877;Coldplay
MN0000420926;Nino Tempo
MN0000618368;Seely
MN0000753004;Steve Lacy
MN0000318771;Marva Whitney
MN0000888100;Revolting Cocks
MN0000788508;Beenie Man
MN0000317029;Sebastian Bach
MN0000058355;Aus-Rotten
MN0000923705;Mogwai
MN0000121459;Cornell Campbell
MN0002060288;Defiance, Ohio
MN0000799429;Eric B.
MN0000048341;Audra McDonald
MN0000811141;Dave Kikoski
MN0000015122;Patsy Montana
MN0000988307;From Autumn to Ashes
MN0000086598;Billy Childish
MN0000491565;The Power Station
MN0000049431;Blacktop Cadence
MN0000598667;Zeni Geva
MN0000636044;The Cadillacs
MN0000739959;Panda & Angel
MN0000551211;Aubrie Haynie
MN0000889471;Opal
MN0000035093;The Advent
MN0000822089;Jordan Knight
MN0003342043;Suburbo
MN0000035094;The A-Bones
MN0002318318;Ebony Bones
MN0000003226;Alexisonfire
MN0000838327;Savage Garden
MN0000570306;Elvis Perkins
MN0002923522;Dan Croll
MN0000823971;I.K. Dairo & His Blue Spots
MN0000944172;Camp Lo
MN0000740843;Frodus
MN0000492451;Mike Phillips
MN0000751982;Superjoint Ritual
MN0000037940;Sonny Simmons
MN0000409967;Noam Chomsky
MN0000668149;Harvey Watkins, Jr.
MN0000681964;Wreckx-N-Effect
MN0000137893;Laurel & Hardy
MN0001200013;Louis Niedermeyer
MN0000689768;The Young Fresh Fellows
MN0001521434;Thad Jones/Mel Lewis Orchestra
MN0000300659;Pedro Infante
MN0000570046;Marc Almond
MN0000186401;Karen O
MN0000578218;The Windbreakers
MN0000894827;Oscar Brown, Jr.
MN0000027316;Terri Binion
MN0000894531;Otis Clay
MN0000754801;Si*Sé
MN0000171227;Ebenezer Obey
MN0000171994;Joe South
MN0000171220;Eliane Elias
MN0000006764;Spacecraft
MN0003417272;Emilie & Ogden
MN0000960760;Dave Kerman
MN0000536754;Burl Ives
MN0000150677;Eve's Plum
MN0000864677;Sophie Milman
MN0000934874;Mystik Journeymen
MN0000281113;Jesse Harris
MN0000011288;Spirit of Life Ensemble
MN0000860578;Neil Young & Crazy Horse
MN0000695614;The Deep Freeze Mice
MN0000129430;Cluster
MN0000230963;John P. Kee
MN0000938358;Eggs Over Easy
MN0000766898;Bomb the Bass
MN0000201488;Earle H. Hagen
MN0000230969;The Wake
MN0000748713;Slick Rick
MN0000766893;The Isley Brothers
MN0000081248;Biosphere
MN0000670226;The Killers
MN0000234249;John White
MN0000310087;Jungle Brothers
MN0000476282;A Skylit Drive
MN0000483563;The Verve Pipe
MN0000354105;Jimi Hendrix
MN0000071247;Chrome Cranks
MN0000771568;Boukman Eksperyans
MN0000040969;Steve Wynn
MN0002983025;Shanren
MN0002571333;Lord Huron
MN0003215869;Ausmuteants
MN0000921033;The Vanguard Jazz Orchestra
MN0000766094;Commodores
MN0000111934;Ivie Anderson
MN0000179714;Eileen Farrell
MN0000363100;Prong
MN0002373828;Eric Bellinger
MN0000169443;Carlos Barbosa-Lima
MN0000333447;Phyllis Hyman
MN0000159047;Parlor James
MN0000204054;Charles Fambrough
MN0001210253;Chris Impellitteri
MN0003007054;De Verre en Vers
MN0000922398;Sugababes
MN0000177122;Fat Joe
MN0000034769;Ray Noble
MN0000669430;Dallas Wayne
MN0000934290;Tom Rapp
MN0000330061;Rage
MN0000362887;Kane & Abel
MN0000087985;The Hollies
MN0000406294;Megadeth
MN0000677842;Hellhammer
MN0000579037;Sun Kil Moon
MN0000579035;Sun City Girls
MN0000407163;Oneida
MN0001465422;Optimo
MN0000331337;Ronnie Dawson
MN0000672498;Goldie
MN0000617901;My Dying Bride
MN0000219243;Vinícius de Moraes
MN0000219242;Uncle Eck Dunford
MN0000090803;King Curtis
MN0000621639;Tone-Loc
MN0000805785;Joe Satriani
MN0000010159;Touré Kunda
MN0002638433;The Darlings
MN0000581435;Jack Parnell
MN0000129980;Springhouse
MN0000162779;Caspar Brötzmann
MN0000576072;A Taste of Honey
MN0000177694;Eddy Duchin
MN0000567624;The Stylistics
MN0000751245;The Apex Theory
MN0000743760;Alien Sex Fiend
MN0000139804;Joe Henderson
MN0002286691;Cathy Berberian
