Source;Target
MN0000237205;MN0001162681
MN0000128099;MN0000295276
MN0000334770;MN0000245760
MN0000237205;MN0000086927
MN0000075747;MN0000472925
MN0000554963;MN0000530745
MN0000187478;MN0000167517
MN0000892771;MN0000299668
MN0000477875;MN0000299668
MN0000569685;MN0000299668
MN0000101946;MN0000299668
MN0000677781;MN0000299668
MN0000329468;MN0000299668
MN0000402872;MN0000533117
MN0000104714;MN0000533117
MN0000129775;MN0000533117
MN0000138699;MN0000533117
MN0000128099;MN0000533117
MN0000376613;MN0000317020
MN0000220590;MN0000317020
MN0000071812;MN0000053606
MN0000316834;MN0000053606
MN0000299668;MN0000231342
MN0000267814;MN0000231342
MN0000746666;MN0000231342
MN0000533117;MN0000231342
MN0000129775;MN0000231342
MN0000237205;MN0000008828
MN0000894465;MN0000020050
MN0000059156;MN0000020050
MN0000046861;MN0000677781
MN0000128099;MN0000677781
MN0000824022;MN0000677781
MN0000531986;MN0000239921
MN0000533117;MN0000883318
MN0000181376;MN0000540010
MN0000069153;MN0000799053
MN0000066915;MN0000799053
MN0000903609;MN0000794846
MN0000816890;MN0000794846
MN0000180228;MN0000794846
MN0000127063;MN0000012128
MN0000865016;MN0000012128
MN0000767016;MN0000012128
MN0000334193;MN0000553483
MN0000066915;MN0000069153
MN0000490004;MN0000026367
MN0000604852;MN0000026367
MN0000222436;MN0000026367
MN0000084209;MN0000026367
MN0000105354;MN0000026367
MN0000069534;MN0000026367
MN0000835585;MN0000026367
MN0000260206;MN0000026367
MN0000171637;MN0000209142
MN0000180228;MN0000209142
MN0000094205;MN0000209142
MN0000219203;MN0000049026
MN0000037730;MN0000049026
MN0000270667;MN0000049026
MN0000066915;MN0000114342
MN0000894465;MN0000114342
MN0000307461;MN0000114342
MN0000316834;MN0000141838
MN0000577627;MN0000141838
MN0000751019;MN0000141838
MN0000478603;MN0000141838
MN0000053739;MN0000186185
MN0000294923;MN0000186185
MN0000325459;MN0000103484
MN0000379125;MN0000103484
