Id;Label
MN0000484145;The Partridge Family
MN0000855423;Kate Bush
MN0000183512;Lil' Flip
MN0000028432;Sneaker Pimps
MN0000808003;Jamie O'Neal
MN0000059350;The Fifth Estate
MN0000469286;The Music Machine
MN0000900303;2 In A Room
MN0000096964;Boz Scaggs
MN0000498961;'Til Tuesday
MN0001928494;Sweet Dreams
MN0000530745;Bruce Springsteen
MN0000775877;Coldplay
MN0000451167;Asher Roth
MN0000317020;Quad City DJ's
MN0000231342;Deee-Lite
MN0000286012;Mark Dinning
MN0000788508;Beenie Man
MN0000868174;Rascal Flatts
MN0000295276;Jimmy Cliff
MN0000680907;William DeVaughn
MN0000278880;Philly Cream
MN0000812418;Lee Michaels
MN0000062270;Bobby Rydell
MN0000112537;Creative Source
MN0000794846;Eddie Rabbitt
MN0000025899;Technotronic Featuring Ya Kid K
MN0000757070;Steve Perry
MN0000387973;Raekwon
MN0000064000;The Flirtations
MN0000297955;The Rubinoos
MN0000491565;The Power Station
MN0000017748;Patti LaBelle
MN0000135152;Jodeci
MN0000603980;Tiny Tim
MN0000500646;Motherlode
MN0000149990;The Edsels
MN0000822089;Jordan Knight
MN0000308742;Julian Cope
MN0000049180;Betty Harris
MN0001177706;Stabilizers
MN0000838327;Savage Garden
MN0000922471;Sean Kingston Featuring Elan & Juelz Santana
MN0000167399;Marvin Hamlisch
MN0000079651;Bonnie Pointer
MN0000136871;The Doobie Brothers
MN0000380106;Nektar
MN0000189701;Jean Shepard
MN0000028002;Shinedown
MN0000051736;The Manhattans
MN0001268371;Chris Hodge
MN0000409968;Reba McEntire
MN0000681964;Wreckx-N-Effect
MN0000750456;Paul Revere & The Raiders
MN0000085397;Kelis
MN0000011754;Sheena Easton
MN0000354581;Men Of Vizion
MN0000749571;Skillet
MN0000034382;Paul Young
MN0000091122;Inner City
MN0000117272;Connie Stevens
MN0000658950;DJ Quik
MN0000796281;Five For Fighting
MN0000812568;Mable John
MN0000536754;Burl Ives
MN0000137474;Laura Nyro
MN0000127451;Jackie DeShannon
MN0000884745;Landon Pigg
MN0000123754;Christopher Cross
MN0000755776;Simon Stokes
MN0000191069;Debbie Dean
MN0000623567;Secondhand Serenade
MN0000201716;Ty Herndon
MN0000006414;Sharon Bryant
MN0000776371;Color Me Badd
MN0000234647;Deborah Cox
MN0000851184;Richard Chamberlain
MN0000775206;Chris Christian
MN0000016235;Tony Orlando
MN0000792507;Frank Sinatra
MN0000936983;Marty Balin
MN0000502806;The Rivingtons
MN0000060012;Autograph
MN0000506362;Timex Social Club
MN0000766893;The Isley Brothers
MN0000290299;Samantha Sang
MN0000076658;Jimmy McGriff
MN0000020278;Teddy Pendergrass
MN0000578730;Spiral Starecase
MN0000341652;Roy Clark
MN0000670226;The Killers
MN0000899198;The Smothers Brothers
MN0000180617;Carolyn Dawn Johnson
MN0000188432;David Sanborn
MN0000624504;The Box Tops
MN0000039637;Survivor
MN0000405142;Ray J
MN0000233467;John Rich
MN0000354105;Jimi Hendrix
MN0000639056;Bush
MN0000403542;The Mixtures
MN0000830617;Sagittarius
MN0000105354;Cheap Trick
MN0000122754;Cyndi Lauper
MN0000678408;Herbie Mann
MN0000006321;Tanya Blount
MN0000318771;Marva Whitney
MN0000102835;Chocolate Milk
MN0000073666;Baby Washington
MN0000192143;The Gregg Allman Band
