Id;times active
MN0002453941;[u'2000s', u'2010s']
MN0000781172;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s']
MN0000869649;[u'1990s', u'2000s', u'2010s']
MN0000892771;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000135152;[u'1990s', u'2000s', u'2010s']
MN0000925066;[u'1990s', u'2000s', u'2010s']
MN0000809527;[u'1990s', u'2010s']
MN0000477875;[u'1950s', u'1960s', u'1970s']
MN0000128440;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000198162;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s']
MN0000170211;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s']
MN0000033481;[u'1990s', u'2000s', u'2010s']
MN0000239921;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000585249;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000181376;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000098081;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000338887;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s']
MN0000780258;[u'1990s', u'2000s', u'2010s']
MN0000079796;[u'1970s', u'1980s', u'1990s']
MN0000117064;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000069534;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000306258;[u'1990s', u'2000s', u'2010s']
MN0000489303;[u'1960s', u'2010s']
MN0000112789;[u'1990s', u'2000s', u'2010s']
MN0000495366;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000334644;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s']
MN0000852855;[u'1970s', u'1980s', u'2000s', u'2010s']
MN0000158309;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000136640;[u'1960s', u'1970s', u'1980s', u'1990s']
MN0000759187;[u'1990s', u'2000s', u'2010s']
MN0000394931;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000746915;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000325459;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000167361;[u'1990s', u'2000s', u'2010s']
MN0000270491;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000147200;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000789064;[u'1980s', u'1990s']
MN0000782163;[u'1990s', u'2000s', u'2010s']
MN0000628467;[u'1990s', u'2000s', u'2010s']
MN0000739742;[u'2000s', u'2010s']
MN0000367188;[u'2000s', u'2010s']
MN0000481057;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000548196;[u'1990s', u'2000s', u'2010s']
MN0000873085;[u'1970s', u'1980s', u'1990s']
MN0000130028;[u'1970s', u'1980s', u'1990s']
MN0000864209;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000136075;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0001930721;[u'1990s', u'2000s']
MN0000784732;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000473554;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000484880;[u'2000s', u'2010s']
MN0001176481;[u'1970s', u'1980s', u'1990s']
MN0000393031;[u'1960s', u'1970s', u'1980s', u'2000s', u'2010s']
MN0000200968;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000132856;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000920338;[u'1990s', u'2000s']
MN0000084446;[u'2000s', u'2010s']
