#
# Out-degree distribution. G(19741, 78405). 2535 (0.1284) nodes with out-deg > avg deg (7.9), 1329 (0.0673) with >2*avg.deg (Tue Nov 10 01:42:34 2015)
#
# Out-degree	Count
0	11773
1	3025
2	842
3	458
4	313
5	249
6	286
7	260
8	195
9	192
10	186
11	179
12	133
13	126
14	104
15	91
16	83
17	91
18	75
19	80
20	61
21	56
22	48
23	55
24	48
25	38
26	37
27	42
28	24
29	26
30	27
31	24
32	24
33	23
34	21
35	24
36	19
37	20
38	15
39	20
40	11
41	15
42	8
43	6
44	11
45	4
46	7
47	9
48	10
49	11
50	6
51	11
52	6
53	10
54	8
55	3
56	3
57	5
58	6
59	9
60	2
61	3
62	7
63	4
64	3
65	7
66	5
67	2
68	4
69	5
70	4
71	1
72	4
73	1
74	2
75	2
76	5
77	3
78	3
79	3
81	2
82	3
83	4
84	3
85	2
86	1
87	4
88	2
89	2
90	3
91	1
92	4
93	3
94	1
95	1
97	2
98	2
99	2
100	1
101	5
103	1
106	2
107	3
108	2
109	2
110	1
111	2
115	2
117	3
118	2
120	2
121	1
122	1
125	2
127	1
128	2
129	2
135	1
137	1
141	1
142	1
143	1
146	1
151	1
155	1
161	1
166	2
176	1
182	1
185	1
188	1
189	2
193	1
199	1
204	1
205	1
206	1
209	2
211	1
221	1
227	2
232	1
239	1
245	1
255	1
265	1
269	1
278	1
306	1
309	1
416	1
501	1
793	1
